SMILES,GENERIC_NAME,SYNONYMS
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,Zaleplon,"3'-(3-Cyanopyrazolo(1,5-a)pyrimidin-7-yl)-N-ethylacetanilide; Zaleplon"
S=[Se]=S,Selenium Sulfide,"Selenii disulfidum; Selenium disulfide; Selenium disulphide; Selenium Sulfide; Selenium sulfide, micronized; Selenium sulphide; Selenium sulphide, micronized; Selenium(IV) disulfide; Selenium(IV) disulphide; Selenium(IV) sulfide; Selenium(IV) sulphide"
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Edetic acid,"(ethylenedinitrilo)tetraacetic acid, ion(4−); {[-(bis-carboxymethyl-amino)-ethyl]-carboxymethyl-amino}-acetic acid; 2,2',2'',2'''-(ethane-1,2-diyldinitrilo)tetraacetate; Acide edetique; Acide ethylenediaminetetracetique; Acido edetico; Acidum edeticum; Edetic acid; EDTA; EDTA, ion(4-); Ethylenediaminetetraacetate; Ethylenediaminetetraacetic acid; N,N'-1,2-Ethane diylbis-(N-(carboxymethyl)glycine)"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,Ethinylestradiol,"17-ethinyl-3,17-estradiol; 17-ethinyl-3,17-oestradiol; 17-ethinylestradiol; 17alpha-Ethinyl estradiol; 17α-ethynylestradiol; Ethinyl estradiol; Ethinylestradiol; Ethinylestradiolum; Ethinyloestradiol; Ethynyl estradiol; Etinilestradiol"
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1,Nandrolone phenpropionate,19NTPP; Nadrolone phenylpropionate; Nandrolon phenylpropionate; Nandrolone phenpropionate; Nandrolone phenylpionate; Nandrolone phenylpropionate; Norandrolone phenyl propionate; Norandrostenolone phenylpropionate; Nortestosterone phenylpropionate; NPP; NTPP
COC(=O)CCC(=O)CN,Methyl aminolevulinate,5-aminolevulinic acid methyl ester; Aminolevulinato de metilo; Aminolevulinic acid methyl ester; methyl 5-aminolevulinate; Methyl aminolevulinate; Methyl delta-aminolevulinate; methyl δ-aminolevulinate
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,Cyclacillin,"(1-aminocyclohexyl)penicillin; (2S,5R,6R)-6-{[(1-aminocyclohexyl)carbonyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid; 6-(1-aminocyclohexanecarboxamido)penicillanic acid; 6-(1-aminocyclohexylcarboxamido)penicillanic acid; Ciclacilina; Ciclacillin; Ciclacilline; Ciclacillinum; Cyclacillin"
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,Levobupivacaine,"(-)-bupivacaine; (S)-1-butyl-2',6'-pipecoloxylidide; (S)-bupivacaine; L-(-)-1-Butyl-2',6'-pipecoloxylidide; L-(−)-bupivacaine; Levobupivacaína; Levobupivacaine"
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,Cromoglicic acid,5-[3-(2-carboxy-4-oxo-4H-5-chromenyloxy)-2-hydroxypropoxy]-4-oxo-4H-2-chromenecarboxylic acid; Acide Cromoglicique; Acido Cromoglicico; Acidum Cromoglicicum; Cromoglicate; Cromoglicic acid; Cromoglycate; Cromoglycic acid; Cromolyn
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Clobetasol propionate,"21-chloro-9-fluoro-11β,17-dihydroxy-16β-methylpregna-1,4-diene-3,20-dione 17-propionate; clobetasol 17-propanoate; clobetasol 17-propionate; Clobetasol propionate; Clobetasol propionate E"
O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,Isosorbide mononitrate,IS 5-MN; IS-5-MN; IS-5MN; ISMN; Iso-5-mononitrate; Isosorbide 5-mononitrate; Isosorbide 5-nitrate; Isosorbide mononitrate; Isosorbide-5-mononitrate; Isosorbidi mononitras; Mononitrate d'isosorbide; Mononitrato de isosorbida; Monosorbitrate
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,Mycophenolic acid,(e)-6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-4-hexenoic acid; Acide mycophenolique; Acido micofenolico; Acidum mycophenolicum; Micofenolico acido; Mycophenolate; Mycophenolic acid; Mycophenolsäure
C#CC1(OC(N)=O)CCCCC1,Ethinamate,1-ethynylcyclohexanol carbamate; Aethinyl-cyclohexyl-carbamat; Ethinamate; Ethinamatum; Etinamato
CCOP(=O)(OCC)SCC[N+](C)(C)C,Echothiophate,"2-(Diethoxyphosphorylsulfanyl)ethyl-N,N,N-trimethylazanium iodide; Echothiophate; Ecothiopate; Ecothiopatum; Phospholine"
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,Cefditoren,Cefditoren; Cefditoreno
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,Clonazepam,"1,3-dihydro-7-nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one; 5-(2-chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one; 5-(2-chlorophenyl)-7-nitro-1H-benzo[e][1,4]diazepin-2(3H)-one; 5-(o-chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one; Clonazepam; Clonazepamum"
CC(O)(P(=O)(O)O)P(=O)(O)O,Etidronic acid,"(1-hydroxy-ethylidene)diphosphonic acid; (1-Hydroxyethylene)diphosphonic acid; (1-Hydroxyethylidene)bis(phosphonic acid); (1-Hydroxyethylidene)bisphosphonic acid; (1-Hydroxyethylidene)diphosphonic acid; (Hydroxyethylidene)diphosphonic acid; 1-Hydroxy-1,1-diphosphonoethane; 1-hydroxyethane 1,1-diphosphonic acid; 1-Hydroxyethane-1,1-bisphosphonic acid; 1-Hydroxyethane-1,1-diphosphonate; 1-Hydroxyethane-1,1-diphosphonic acid; 1-Hydroxyethanediphosphonic acid; 1-Hydroxyethylidene-1,1-bisphosphonate; 1-Hydroxyethylidene-1,1-diphosphonic acid; 1,1,1-Ethanetriol diphosphonate; Acetodiphosphonic acid; acide étidronique; ácido etidrónico; acidum etidronicum; EHDP; Ethane-1-hydroxy-1,1-bisphosphonic acid; Ethane-1-hydroxy-1,1-diphosphonate; Ethane-1-hydroxy-1,1-diphosphonic acid; Etidronate; Etidronic acid; Etidronsäure; HEDP; Hydroxyethanediphosphonic acid; Oxyethylidenediphosphonic acid"
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,Diphenoxylate,"1-(3-Cyano-3,3-diphenylpropyl)-4-phenyl-isonipecotic acid ethyl ester; 2,2-Diphenyl-4-(4-carbethoxy-4-phenylpiperidino)butyronitrile; Difenossilato; Difenoxilato; Diphenoxylate; Diphenoxylatum; Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenyl-4-piperidinecarboxylate; Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotate"
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,Oxamniquine,
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,Arbutamine,Arbutamina; Arbutamine; Arbutaminum
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,Sibutramine,Sibutramina; Sibutramine; Sibutraminum
CCC1(CC)C(=O)NCC(C)C1=O,Methyprylon,Methyprylon; Methyprylone; Methyprylonum; Metiprilon; Metiprilona; Metiprilone
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,Trimethaphan,Thimethaphan; Trimetaphan; Trimetaphanum
Nc1ccc2cc3ccc(N)cc3nc2c1,Proflavine,"2,8-Diaminoacridine; 3,6-acridinediamine; 3,6-diaminoacridine; Diaminoacridine; Proflavin; Proflavina; Proflavine; Proflavinum"
COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,Doxacurium,
O=S(O)CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)O)cc2)cc1,Sulfoxone,Aldesulfone; Aldesulphone
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O.NC(CO)(CO)CO,Dinoprost tromethamine,Dinoprost trometamol; Dinoprost tromethamine; PGF2-alpha THAM; PGF2A THAM; PGF2alpha THAM; Prostaglandin F2-alpha THAM; Prostaglandin F2a tromethamine; Prostaglandin F2alpha tham; Prostin F2 Alpha
[Ca+2].[Cl-].[Cl-],Calcium chloride,"Calcio cloruro; Calcium chloride anhydrous; Calcium chloride, anhydrous; calcium(2+) chloride"
O=[As]O[As]=O,Arsenic trioxide,Acide Arsenieux; Anhydride Arsenieux; Arsenic Blanc; Arsenic oxide; Arsenic trioxide; Arsenic(III) oxide; arsénico trióxido; Arsenigen Saure; Arsenolite; Arsenous oxide; Arsenous oxide anhydride; Diarsenic oxide; Diarsenic trioxide; White arsenic
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Phenobarbital,"5-ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-Ethyl-5-phenyl-pyrimidine-2,4,6-trione; 5-Ethyl-5-phenylbarbituric acid; 5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione; 5-Phenyl-5-ethylbarbituric acid; Fenobarbital; Phenobarbital; Phenobarbitol; Phenobarbitone; Phenobarbituric Acid; Phenyläthylbarbitursäure; Phenylethylbarbiturate; Phenylethylbarbituric Acid; Phenylethylbarbitursäure; Phenylethylmalonylurea"
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,Rescinnamine,"3,4,5-Trimethoxycinnamoyl methyl reserpate; Rescinnamine; Trimethoxy cinnamoyl reserpate de methyl"
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Fluoxymesterone,"11β,17β-Dihydroxy-9α-fluoro-17α-methyl-4-androster-3-one; 17α-Methyl-9α-fluoro-11β-hydroxytesterone; 9-Fluoro-11β,17β-dihydroxy-17-methylandrost-4-en-3-one; 9α-Fluoro-11β-hydroxy-17-methyltestosterone; Fluoximesterona; Fluoxymestérone; Fluoxymesterone; Fluoxymesteronum"
CCOC(=O)CCCCCCCCC(C)c1ccccc1I,Iophendylate,Ethyl 10-(p-iodophenyl)-undecanoate; Ethyl 10-(p-iodophenyl)hendecanoate; Ethyl 10-(p-iodophenyl)undecylate; Iofendylate
FC(F)OC(F)C(F)(F)F,Desflurane,"(±)-2-difluoromethyl 1,2,2,2-tetrafluoroethyl ether; 1,1,1,2-tetrafluoro-2-(difluoromethoxy)ethane; Desflurane; Desflurano; Desfluranum; Difluoromethyl 1,2,2,2-tetrafluoroethyl ether"
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,Dexfenfluramine,(+)-fenfluramine; (S)-fenfluramine; (S)-N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine; d-N-ethyl-α-methyl-m-trifluoromethylphenethylamine; Dexfenfluramina; Dexfenfluramine; Dexfenfluraminum; Dextrofenfluramine
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,Oxymorphone,(14S)-14-Hydroxydihydromorphinone; 14-Hydroxydihydromorphinone; Dihydrohydroxymorphinone; Dihydroxymorphinone; Oximorfona; Oximorphonum; Oxymorphone; Oxymorphonum
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Zopiclone,"(+-)-zopiclone; (±)-zopiclone; 6-(5-Chloro-2-pyridinyl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl 4-methyl-1-piperazinecarboxylate; Zopiclona; Zopiclone; Zopiclonum"
C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,Dezocine,"(−)-13β-amino-5,6,7,8,9,10,11α,12-octahydro-5α-methyl-5,11-methanobenzocyclodecen-3-ol; Dezocina; Dezocine; Dezocinum"
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,Estazolam,"8-chloro-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine; Estazolam; Estazolamum"
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,Levacetylmethadol,"(-)-alpha-Acetylmethadol; (1S,4S)-4-(dimethylamino)-1-ethyl-2,2-diphenylpentyl acetate; 1-alpha-Acetylmethadol; LAAM; Levacetilmetadol; Levacetylmethadol; Levacetylmethadolum; Levo-alpha-acetylmethadol; Levo-methadyl acetate; Levo-α-acetylmethadol; Levomethadyl; Levomethadyl acetate"
COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,Encainide,(±)-2'-[2-(1-methyl-2-piperidyl)ethyl]-p-anisanilide; (±)-4-methoxy-N-(2-(2-(1-methyl-2-piperidinyl)ethyl)phenyl)benzamide; 4-methoxy-2'-[2-(1-methyl-2-piperidyl)ethyl]benzanilide; 4-Methoxy-N-{2-[2-(1-methyl-piperidin-2-yl)-ethyl]-phenyl}-benzamide; Encainida; Encainide; Encainidum
NC1=NC(=O)C(c2ccccc2)O1,Pemoline,pemolina; Pemoline
CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,Bromodiphenhydramine,"2-(p-bromo-α-phenylbenzyloxy)-N,N-dimethylethylamine; Bromazina; Bromazine; Bromazinum; β-(p-bromobenzhydryloxy)ethyldimethylamine; β-dimethylaminoethyl p-bromobenzhydryl ether"
C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,Lisdexamfetamine,Lisdexamfetamine
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,Arformoterol,"(-)-formoterol; (R,R)-formoterol; Arformoterol"
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O,Pramlintide,Pramlintide
CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O)C(C)C)C(C)C)C(C)C,Tetracosactide,"adrenocorticotropic hormone 1-24; Adrenocorticotropic hormone fragment 1-24 human, rat; alpha(1-24)-corticotrophin; ATCH (1-24); beta(1-24)-corticotrophin; Corticotropin tetracosapeptide; corticotropin-(1-24); corticotropin-(1-24) tetracosapeptide; Cosyntropin; Tetracosactida; Tetracosactide; Tetracosactrin; α1-24-corticotrophin; β1-24-corticotrophin"
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,Pirbuterol,(+/-)-pirbuterol; Pirbuterol; Pirbuterolum
O=C1O[Bi](O)Oc2ccccc21,Bismuth subsalicylate,"2-Hydroxy-benzo[1,3,2]dioxabismin-4-one; Basic bismuth salicylate; Bismuth oxide salicylate; Bismuth oxysalicylate; Bismuth subsalicylate; Pink bismuth; Wismutsubsalicylat"
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,Sulfacytine,1-ethyl N4-sulfanilylcytosin; 1-ethyl-N-sulfanilylcytosine; Sulfacitina; Sulfacitine; Sulfacitinum; Sulfacytine
C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,Oxtriphylline,Choline theophyllinate; Choline theophylline; Cholini theophyllinas; Oxtriphylline; Teofilinato de colina; Theocolin; Theophyllinate de choline
COC1=CC(=O)OC(/C=C/C2=CCCC=C2)C1,Kava,
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,Ceftizoxime,7-[2-(2-Amino-thiazol-4-yl)-2-methoxyimino-acetylamino]-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid; Ceftizoxima; Ceftizoxime; Ceftizoximum; syn-7-(2-(2-Amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-cephem-4-carboxylic acid
[K+],Potassium cation,Potassium (ion); Potassium ion; potassium(1+); potassium(1+) ion; potassium(I) cation
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,Quinidine barbiturate,
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,Spirapril,Espirapril; Spirapril; Spiraprilum
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Amobarbital,"5-ethyl-5-(3-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-ethyl-5-(3-methylbutyl)barbituric acid; 5-ethyl-5-isoamylbarbituric acid; 5-ethyl-5-isopentylbarbituric acid; Amobarbital; Amobarbitale; Amylobarbitone; Barbamil; Barbamyl"
CCCCC1(CC)C(=O)NC(=O)NC1=O,Butobarbital,Butethal; Butobarbital; Butobarbitone
CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O,Quinupristin,Quinupristin
[AlH3],Aluminium,Al; Aluminio; Aluminium; Aluminium atom; Aluminium metallicum; Aluminum; Aluminum metal; Aluminum powder; Metallic aluminum
[Mg+2].[O-2],Magnesium oxide,Magnesia; Magnesium oxide
[Mg+2],Magnesium cation,"Magnesium ion; Magnesium, ion(Mg2+)"
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,Cortisone acetate,Cortisone 21-acetate; Cortisone acetate; Cortone acetate
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,Glymidine,Glidiazine; Glycodiazine; Glymidine; Glymidinum
O=C([O-])O.[Na+],Sodium bicarbonate,Baking soda; Bicarbonate of soda; Carbonic acid monosodium salt; NaHCO3; Natriumhydrogenkarbonat; Sodio bicarbonato; Sodium acid carbonate; Sodium bicarbonate; Sodium hydrogen carbonate; Sodium hydrogencarbonate
C[N+](C)(C)CCO.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Mg+2],Choline magnesium trisalicylate,
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,Antrafenine,Antrafenine
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Testosterone propionate,Testosterone propionate
CCC1(c2ccccc2)CCC(=O)NC1=O,Glutethimide,2-Ethyl-2-phenylglutarimide; Glutethimide; Glutetimida
O=C(O)CCCO,gamma-Hydroxybutyric acid,3-carboxypropoxy acid; 4-hydroxy-butyric acid; 4-hydroxybutanoate; 4-hydroxybutanoic acid; 4-Hydroxybutyric acid; gamma-Hydroxybutyrate; GHB; oxy-n-butyric acid; Oxybate; γ-Hydroxybutyric acid
CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Diamorphine,"(5α,6α)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol diacetate (ester); 3,6-Diacetylmorphine; 7,8-Dihydro-4,5-alpha-epoxy-17-methylmorphinan-3,6-alpha-diol diacetate; Diacetylmorphine; Diamorphine; Heroin; O,O'-Diacetylmorphine"
Cc1cc(=O)n(-c2ccccc2)n1C.OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl,Dichloralphenazone,Dichloralphenazone
N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,Difenoxin,"1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotic acid; Difenoxin; Difenoxina; Difenoxinum; Diphenoxilic acid; Diphenoxylic acid"
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,Flunitrazepam,Flunitrazepam; Flunitrazepamum
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,Dihydrocodeine,DHC; Dihydrocodeine
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,Bromazepam,Bromacepam; Bromazepam; Bromazepamum
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,Clotiazepam,Clotiazepam; Clotiazepamum
OC(O)C(Cl)(Cl)Cl,Chloral hydrate,"1,1,1-trichloro-2,2-dihydroxyethane; 1,1,1-trichloro-2,2-ethanediol; 2,2,2-trichloro-1,1-ethanediol; Chloral hydrate; chloral monohydrate; Chloralhydrat; Trichloracetaldehyd-hydrat; trichloroacetaldehyde hydrate"
O.O.O.O.[Al+3].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[SiH8+4].[SiH8+4].[SiH8+4].[SiH8+4],Attapulgite,"Activated attapulgite; Aluminium magnesium silicate (attapulgite); Attapulgite (activated); Attapulgite, activated; Attapulgite,activated; Attapulgus clay"
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],Kaolin,"Kaolin; Kaolin, light"
C[C@H](N)Cc1ccccc1,Dextroamphetamine,(+)-(S)-amphetamine; (+)-amphetamine; (+)-α-methylphenethylamine; (+)-α-methylphenylethylamine; (S)-(+)-amphetamine; (S)-(+)-β-phenylisopropylamine; (S)-1-phenyl-2-aminopropane; (S)-1-phenyl-2-propylamine; (S)-amphetamine; (S)-α-methylbenzeneethanamine; (αS)-α-methylbenzeneethanamine; d-amphetamine; Desamfetamina; Dexamfetamina; Dexamfetamine; Dexamfetaminum; Dexamphetamine; Dexanfetamina; Dextroamphetamine
CN[C@@H](C)Cc1ccccc1,Metamfetamine,"(+)-(S)-N-α-dimethylphenethylamine; (S)-N,α-dimethylbenzeneethanamine; (αS)-N,α-dimethylbenzeneethanamine; d-1-phenyl-2-methylaminopropane; d-deoxyephedrine; d-desoxyephedrine; d-N-methylamphetamine; d-phenylisopropylmethylamine; Dextromethamphetamine; Métamfétamine; Metamfetamine; Metamfetaminum; Metanfetamina; Methamphetamine; Methamphetaminum; methyl-β-phenylisopropylamine"
C[C@H]1[C@H](c2ccccc2)OCCN1C,Phendimetrazine,"(2S,3S)-3,4-dimethyl-2-phenylmorpholine; Phendimetrazine"
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-].N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+].[Na+],Liotrix,Levothyroxine Sodium mixture with Liothyronine Sodium; Liotrix; Liotrix (T4;T3)
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,Ketazolam,Ketazolam; Ketazolamum
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,Prazepam,Prazepam; Prazepamum
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,Quazepam,Quazepam; Quazepamum
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,Solifenacin,Solifenacin; Solifenacina
[Fe],Iron,"Carbonyl iron; Eisen; Electrolytic iron; Fe; fer; Ferrum; Ferrum metallicum; Hierro; Iron powder; Iron, carbonyl; Iron, electrolytic; Iron, elemental; Iron, reduced; Reduced iron"
[Zn],Zinc,"Zinc, chelated; Zinc, elemental; Zincum metallicum; Zn"
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,Nitrazepam,"1,3-dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one; 2,3-dihydro-7-nitro-5-phenyl-1H-1,4-benzodiazepin-2-one; 7-nitro-1,3-dihydro-5-phenyl-2H-1,4-benzodiazepin-2-one; 7-nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one; N-desmethylnimetazepam; Nitrazepam; Nitrazépam; Nitrazepamum"
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,Tiaprofenic acid,2-(5-Benzoyl-thiophen-2-yl)-propionic acid; 2-(5-Benzyl-2-thienyl)propionsäure; 5-benzoyl-α-methyl-2-thiopheneacetic acid; 5-benzoyl-α-methylthiophene-2-acetic acid; Acide tiaprofenique; Acido tiaprofenico; Acidum tiaprofenicum; Tiaprofenic acid; Tiaprofensäure; α-methyl-5-benzoyl-2-thienylacetic acid
