,PC1,PC2,PC3,cluster,MoA
Debrisoquine,-11.817302069262,-1.6295871525029306,2.772765871416718,1,adrenergic neuron blocker
Decamethonium,-10.330424637232875,-2.7233238797318022,-0.6818845240923718,1,acetylcholine receptor agonist
Decitabine,3.6984148467867137,3.705296452479279,-6.40668897663552,4,DNA methyltransferase inhibitor
Deferasirox,10.421719816817484,-2.998607022947393,0.40835487161820705,0,chelating agent
Deferiprone,-2.8755267254213623,8.624413124074326,4.038826572198195,4,chelating agent
Deferoxamine,-6.563275134979958,-3.4243795193587543,0.9603139503454364,1,
Deflazacort,-2.710069720732792,-2.3093445290656596,3.8247017379048263,3,glucocorticoid receptor agonist
Degarelix,-7.000790878834407,1.5709382847701396,-0.4469067716455964,1,gonadotropin releasing factor hormone receptor antagonist
Dehydrocholic acid,-7.012360362046815,-6.137353768244016,-0.8156966990092253,1,
Delafloxacin,8.079307090299514,1.0316376892087313,3.1454249777862455,0,antiinfective drug
Delamanid,-8.186937588734622,0.5967018032350984,-4.051614143537118,1,bacterial cell wall synthesis inhibitor
Delavirdine,13.965206690798258,-1.0275359819013183,-1.815799829837926,0,non-nucleoside reverse transcriptase inhibitor
Demecarium,-10.551735810781693,-4.743952323238071,-3.6208350363741797,1,acetylcholinesterase inhibitor
Demeclocycline,-4.328037741621648,-4.405441412390083,0.048393729043760894,1,bacterial 30S ribosomal subunit inhibitor
Deoxycholic acid,6.420218665212552,-4.161484817857326,-8.161189220980893,0,biliverdin reductase A activator|G protein-coupled receptor agonist
Dequalinium,-15.093710457225765,-1.5231534865678005,-2.556508807671146,1,PKC inhibitor
Deserpidine,1.6749329863809768,-4.446056574944814,-3.5003619700505286,3,angiotensin converting enzyme inhibitor
Desflurane,-13.020316764418663,-4.609037818811619,-3.4956626011360536,1,membrane permeability inhibitor
Desipramine,3.391555582254297,1.5991802207367785,-1.7186469450579867,3,tricyclic antidepressant
Deslanoside,-20.05023990435787,-3.594349476204662,-3.0166925583851745,1,Na/K-ATPase inhibitor
Desloratadine,-5.785854387257312,-0.9259980225846257,-3.1882253681441095,1,histamine receptor antagonist
Desmopressin,5.913323458045348,-4.387419705142407,-2.4165591153911166,0,
Desogestrel,-5.387457936489499,-5.029776327920735,-2.7453947627186897,1,progesterone receptor agonist
Desonide,-0.327562040984278,-0.028848295917208378,5.178928521998317,3,glucocorticoid receptor agonist
Desoximetasone,-3.899801780107312,0.04909529859247119,2.6435018554778815,3,glucocorticoid receptor agonist
Desoxycorticosterone acetate,-2.931158449016903,-1.6805743319273132,5.517233284068682,3,progestogen hormone
Desvenlafaxine,0.9636264827475138,9.370629502564116,3.321404034880621,4,serotonin–norepinephrine reuptake inhibitor (SNRI)
Deucravacitinib,13.995910471765695,1.841222127771028,-4.432746885138025,0,
Deutetrabenazine,-2.1460061178060035,-1.7466919186216396,-1.6214646890298472,3,vesicular monoamine transporter inhibitor
Dexamethasone,10.519103138807345,-2.9853081165315754,-2.167437463065439,0,glucocorticoid receptor agonist
Dexamethasone acetate,-2.4529996292564737,-1.2451027774303456,4.569475717995369,3,glucocorticoid receptor agonist
Dexamethasone metasulfobenzoate,-0.5815485516854733,0.14146584154163225,2.9671880249779123,3,
Dexbrompheniramine,-1.4305711991630328,-0.5402802863257543,-4.341445986899545,3,histamine receptor antagonist
Dexchlorpheniramine maleate,1.7479252612548875,-1.5405156025868443,-1.2060836128769081,3,histamine receptor antagonist
Dexfenfluramine,-10.744523695988594,10.241368596399997,-2.573864969640204,2,
Dexibuprofen,-7.46725343490042,-4.941932889041871,2.587433266861999,1,cyclooxygenase inhibitor
Dexketoprofen,-1.1946157991961728,12.58296627108931,1.0521781315557062,4,cyclooxygenase inhibitor
Dexlansoprazole,-2.045671860566932,14.058284777464879,-2.3392071158553334,4,ATPase inhibitor
Dexmedetomidine,-7.313871830584993,-3.1130539092561538,0.1859002511318396,1,adrenergic receptor agonist
Dexmethylphenidate,10.867956393098508,-2.3922019913100283,5.666197224547642,0,
Dexpanthenol,12.869439201751224,3.4521780760755845,-3.458023412687998,0,
Dexrazoxane,10.223505659638619,-6.7545738527213075,-4.769964568679368,0,chelating agent|topoisomerase inhibitor
Dextroamphetamine,2.5460683655885523,-0.6109282277083282,6.948703056092465,3,trace amine associated receptor agonist
Dextromethorphan,0.9146761952761481,10.847149184167474,-3.6012659967127845,4,glutamate receptor antagonist|sigma receptor agonist
Dextropropoxyphene,8.076169126145604,1.458200165564705,1.1681314810092722,0,antitussive
Dextrothyroxine,-11.27999831832834,1.6332693487540775,1.5533228963568388,1,
Dezocine,4.1154268214425915,1.6923530690408237,-2.3238622766914916,4,
Diacerein,-15.32984478366053,-1.9119887372127748,-1.6159993859629536,1,interleukin inhibitor
Diacetyl benzoyl lathyrol,11.907109946916469,-5.533519374467103,-4.70961507760218,0,
Diaminopropanol tetraacetic acid,-18.401371358155764,-6.387877206177307,-2.410331033827138,1,gamma secretase inhibitor
Diaminopyrimidine oxide,14.07038852250875,-2.131350616771301,-2.012270491109032,0,
Diamorphine,3.039852925999306,0.20956364426425425,6.528433404430325,3,
Diatrizoate,-8.469303978927272,-3.7306785596652974,3.849498560273385,1,
Diazepam,1.821024745959773,16.956869646366282,-3.506175483519021,4,benzodiazepine receptor agonist
Diazolidinylurea,-4.7443632427399836,-3.091115557408926,2.1457857543902987,1,
Diazoxide,6.8492740888758945,2.2521842190903527,5.109963047661981,3,potassium channel activator
Dibekacin,-13.520700167987313,-2.1030685801145785,-0.13139836578559028,1,bacterial 30S ribosomal subunit inhibitor
Dibenzepin,10.806260113687792,-3.493541159932717,3.3753124106040775,0,norepinephrine reputake inhibitor
Dichloralphenazone,2.4765056502343947,3.336969841912492,4.834389359625169,3,
Dichloroacetic acid,-11.351805665122981,-2.268379914250609,-1.236931421915056,1,pyruvate dehydrogenase kinase inhibitor
Dichlorobenzyl alcohol,6.001618094918541,0.6097082446169738,2.3500575285454595,3,
Dichromate,5.8252291114144965,-3.7229151911667806,-0.693593212023039,0,
Diclofenac,3.748823601956597,-6.152574741120431,2.122634007980788,3,cyclooxygenase inhibitor
Diclofenamide,8.006766990525728,-5.319917353802222,1.6554602121836992,0,carbonic anhydrase inhibitor
Dicloxacillin,-8.560091450530393,-2.9579398549215368,1.6696071938436665,1,bacterial cell wall synthesis inhibitor
Dicoumarol,-15.785494668227702,-1.8719024087802412,0.8532273676487737,1,NADPH inhibitor
Dicyclomine,-0.4003500179136562,0.8439279495975031,1.576618804116903,3,acetylcholine receptor antagonist
Didanosine,-0.5821892477068366,0.48516132995344513,1.9149460996064405,3,nucleoside reverse transcriptase inhibitor
Didecyldimethylammonium,-13.015889911989493,-3.5391368018272837,-2.684417128164022,1,
Dienestrol,10.053666095732089,10.964403574086347,-4.55400677223141,4,estrogen receptor agonist
Dienogest,13.062378161767267,-2.2007572179135346,-1.4994650898870623,0,progesterone receptor agonist
Diethylamino hydroxybenzoyl hexyl benzoate,6.252541195366758,-4.72539721506096,-0.9732641036867044,0,
Diethylcarbamazine,2.3326659143945827,2.833852213732628,9.182690411672965,3,lipoxygenase inhibitor
Diethylpropion,-10.210513222648713,2.8720514010618055,4.483985551247372,1,
Diethylstilbestrol,17.587843428805872,12.640146900100575,-5.214951214296293,4,estrogen receptor agonist
Diethyltoluamide,-3.8860131626135708,-2.325259151594694,1.0436741132309042,3,ionotropic receptor IR40a activator
Difelikefalin,-3.5324747284415374,-3.493299173101665,-0.294245435647393,3,
Difenoxin,-0.8414903586591159,-0.7680365058290045,5.7791130368301635,3,
Diflorasone,-8.50916747187722,-0.7652760656541506,3.304522402883005,1,
Diflunisal,3.597644458182106,0.9951360917264992,1.9249372793167017,3,prostanoid receptor antagonist
Difluocortolone,-5.752254478643593,0.4613577023025156,3.7946244625798173,1,
Difluprednate,-11.367441326156522,-2.4004050888932573,1.4232631149017274,1,glucocorticoid receptor agonist
Digitoxin,-18.555091284061287,-3.087134366205461,-2.3377476756104594,1,ATPase inhibitor
Digoxin,-19.271309089323427,-3.3389841936498756,-2.9451695659169697,1,ATPase inhibitor
Dihydralazine,3.0058495896592414,0.22115281797412883,0.3219591791778539,3,vasodilator
Dihydro-alpha-ergocryptine,1.8260903284292798,6.157731235163017,-0.3620126612473078,4,
Dihydrocodeine,9.050716417066278,-0.9738583603711779,5.886859740034804,0,
Dihydroergocornine,2.020686289436153,3.758572729012109,-1.0883210608222935,4,adrenergic receptor antagonist|prolactin inhibitor
Dihydroergocristine,-1.2053788000359633,3.7566876674707,-0.12987536221470944,3,adrenergic receptor antagonist|prolactin inhibitor
Dihydroergotamine,2.8185300006032925,1.817257529882363,-1.4428545603610288,3,serotonin receptor agonist
Dihydrostreptomycin,-10.760182070198965,0.00022642673490461717,2.0607581397320454,1,bacterial 30S ribosomal subunit inhibitor
Dihydrotachysterol,-5.8101744238224455,2.504633663606433,-5.377093051228906,1,vitamin analog
Diiodohydroxyquinoline,8.711066075484261,-10.880670907036691,-3.5983914599628752,0,antiseptic
Diloxanide furoate,4.209517026099563,-0.4225316840696157,1.471543535641889,3,
Diltiazem,9.460326122652424,-0.48200830605797373,2.073704747027287,0,calcium channel blocker
Dimazole,-1.2170312003569108,1.2549923921249233,-2.095060772413847,3,sigma receptor antagonist
Dimenhydrinate,-1.9611763528453168,-1.909708155809503,3.672319085239198,3,histamine receptor antagonist
Dimercaprol,-7.682852855768596,-4.841826740931615,-3.3016102533100353,1,chelating agent
Dimercaptosuccinic acid,-0.3291913295138596,0.5965087494273292,1.366669835488555,3,chelating agent
Dimethyl fumarate,19.932145008398393,-2.4281335043107823,-0.3782443754473587,0,nuclear factor erythroid derived|like (NRF2) activator
Dimethyl sulfoxide,9.432389703665324,0.27624030506907926,1.4844397934262763,0,control vehicle
Dimetindene,-0.7244037157818972,-1.4400348445403683,1.2512353474078914,3,cholinergic receptor antagonist|histamine receptor antagonist
Dimetotiazine,-12.99688019318422,2.3594781213867924,-3.3183717933722994,2,
Dinoprost,-18.07321509116783,8.628059824097052,-3.029239449595848,2,prostacyclin analog
Dinoprost tromethamine,-18.29338374609772,7.928849799385902,-2.94066355183016,2,
Dinoprostone,4.033476897128294,-11.05334309466033,-1.8421913424729073,0,prostanoid receptor agonist
Dioctyldimonium,-13.015889911989493,-3.5391368018272837,-2.684417128164022,1,
Diosmin,7.213352974728911,2.4823417872188323,-1.9189556049901104,4,aryl hydrocarbon receptor agonist|capillary stabilizing agent
Dioxybenzone,8.303604669177613,-1.7350988667381624,-1.425004238354242,0,topical sunscreen agent
Dipentamethylenethiuram disulfide,16.801035779163616,-7.89349242354831,-3.823387347693447,0,
Diphemanil,3.6271794057740054,-0.15405008602283007,0.11253478501948135,3,acetylcholine receptor antagonist
Diphenhydramine,-0.5770264111462335,-0.5974799050264807,0.13381921585630496,3,histamine receptor antagonist
Diphenidol,6.978594222075469,2.6450380289117814,3.2650525667732886,4,acetylcholine receptor agonist
Diphenoxylate,1.885517998539288,1.067007753310619,6.715326665128035,3,
Diphenylguanidine,3.4175170675468607,-0.5881466670571454,3.4038861842143953,3,
Diphenylpyraline,-12.706210099185148,0.5266765495316109,2.393529625265886,1,dopamine reuptake inhibitor
Dipivefrin,-5.36727515342679,-1.0478591096860148,-0.5857612426281192,1,adrenergic receptor agonist
Dipotassium phosphate,0.3142586395678687,-0.08723469372422805,4.736956278856059,3,
Dipyridamole,9.38320208552158,0.9053487266442395,-3.992501549185572,0,phosphodiesterase inhibitor
Dipyrithione,-2.9354421340727463,-5.451670914681174,-1.7777334881238087,3,psychoactive drug
Diroximel fumarate,11.55507333145387,-1.5756975592718205,-1.0654854236759705,0,anti-inflammatory agent
Disopyramide,4.2124309590171185,4.871976478807049,6.500143487767113,3,sodium channel blocker
Disperse Blue 106,6.146207635433158,-5.862234232987952,-0.3811248332013102,0,
Distearyldimonium,-13.015889911989493,-3.5391368018272837,-2.684417128164022,1,
Disulfiram,8.224439339078703,1.3732195105797809,-4.813578902423267,0,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
Ditiocarb zinc,1.9234159340501737,-8.579031692114924,1.3950388516388137,3,
Dobutamine,5.175733611618441,0.4033668662211178,-1.8027802345297026,3,adrenergic receptor agonist
Docetaxel,-10.28950911921128,-3.9717202572006567,-5.412782578739663,1,tubulin polymerization inhibitor
Doconexent,-8.74745061098088,-3.9057069409581513,1.4330728815368035,1,PPAR receptor agonist
Docosanol,20.729513290351424,-4.804010879304839,-2.262567221878186,0,lipase clearing factor inhibitor
Docusate,-11.509776042369657,-4.573228547229589,0.32166678934911586,1,laxative
Dofetilide,3.894604947092408,2.2455640060340234,-0.4485636320156134,3,potassium channel blocker
Dolasetron,-1.9160103355673515,1.2503055511163725,3.6324953040650363,3,serotonin receptor antagonist
Dolutegravir,-15.363970540592513,5.723470903542167,-3.43059623746157,2,HIV integrase inhibitor
Domiphen,-14.85822588867189,-2.7529715143755245,-2.498873976299789,1,
Domperidone,10.31640984708465,3.9261952898113566,-1.2925638368771135,4,dopamine receptor antagonist
Donepezil,5.493521284017012,5.966522353319762,5.139637087583648,4,acetylcholinesterase inhibitor
Dopamine,8.813860357067957,-2.794991560944602,-2.3823097097543378,0,dopamine receptor agonist
Dopexamine,-4.608445807547116,-6.413229004798188,-2.239645767860968,1,dopamine receptor agonist
Doravirine,-2.0832684980855793,1.2041099684332284,-2.941298324044449,3,non-nucleoside reverse transcriptase inhibitor
Doripenem,-3.0214437265842595,-0.34312828741917034,-0.33964247536125813,3,bacterial cell wall synthesis inhibitor
Dorzolamide,-12.351818618379081,-0.11714954708706155,1.9575846918552051,1,carbonic anhydrase inhibitor
Dosulepin,-0.025712339492878416,2.4322011734474485,-0.029177295577906395,3,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)|tricyclic antidepressant
Dotatate,5.5857203729805285,-3.5090328878118444,-4.665632361795041,0,
Dotatate gallium Ga-68,9.778301697812736,-3.7015755245622577,-5.528347407151696,0,
Doxacurium,-12.109913046056295,-5.6589398993368345,-2.4382332809235554,1,
Doxapram,-3.3746432643559277,-1.0274633455234332,-2.9028099974974855,3,potassium channel blocker
Doxazosin,2.770143017455898,4.601783863793791,-0.1287044225915429,4,adrenergic receptor antagonist
Doxepin,4.124735957921814,5.182426364005312,2.4794535539788565,4,histamine receptor antagonist
Doxercalciferol,11.778034768026105,-6.019096539564193,-5.940150823510324,0,vitamin D receptor agonist
Doxorubicin,-11.673136067826354,-4.806562186181148,-2.368248909194234,1,topoisomerase inhibitor
Doxycycline,7.472439292424647,-3.5896685143026086,-7.705287772376889,0,bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor
Doxylamine,-1.8571614347157106,-0.5296013489239283,3.5093570569660892,3,histamine receptor antagonist
Drometrizole trisiloxane,4.448277996813375,-11.87591610149853,-2.4630216558267355,0,
Dronabinol,-2.9833434543347033,-1.394230792415715,-0.9878329507208294,3,
Dronedarone,0.5846462050355143,3.0157189062662346,6.191304296503107,3,adrenergic receptor antagonist
Droperidol,6.909166079617275,2.8726215431618645,4.143518155964017,4,dopamine receptor antagonist
Drospirenone,-0.7300761049180404,1.9817338776126843,7.843657818442187,3,mineralocorticoid receptor antagonist
Drostanolone propionate,-4.863753084588179,-1.6710835773420245,-2.6011841611518904,1,androgen receptor modulator
Drotaverine,0.5501883829275523,4.602867313048164,-2.581879325501787,4,phosphodiesterase inhibitor
Droxidopa,1.9234186371284938,-4.741588435878396,2.9685755353183136,3,norepinephrine precursor
Duloxetine,3.789410897149549,-2.460754425959484,-5.745029921130618,0,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)
Durlobactam,6.941702214600476,2.1313933956123723,4.882520643962487,3,beta lactamase inhibitor
Dutasteride,1.151209225512267,0.19517663213482903,4.761999047580555,3,5 alpha reductase inhibitor
Duvelisib,7.991400370810822,0.9359946811055259,0.5809299394028686,0,PI3K inhibitor
Dyclonine,-12.394308334096063,-7.056271201177963,-2.3136330246517574,1,sodium channel blocker
Dydrogesterone,-8.286385236582268,-5.450237618963097,-1.8393505197993132,1,progesterone receptor agonist
Dyphylline,11.205331482025802,2.9041278319657677,-4.226517149045302,0,adenosine receptor antagonist|phosphodiesterase inhibitor
Ebastine,-4.464977881344633,4.557946127128504,4.249382427778185,3,histamine receptor antagonist
Ecamsule,-0.20430909198125424,0.5157320961721745,1.527115835019588,3,
Echothiophate,-9.426516578561124,-1.6434509180849273,2.96780280417636,1,
Econazole,5.265013351784371,8.026433641843042,-6.474647427458956,4,lanosterol demethylase inhibitor|sterol demethylase inhibitor
Edaravone,13.483279511048794,-0.5076884909167143,3.790229760359718,0,nootropic agent
Edetate calcium disodium anhydrous,1.2544403750403492,-4.322769058273084,-1.2280337874838045,3,
Edetate disodium anhydrous,-12.874664418220908,-3.77806744691321,-0.9263508831003527,1,
Edetic acid,-10.52465358394361,-3.3348001761378043,-1.001989652742659,1,chelating agent
Edotreotide gallium Ga-68,19.477517065756913,-8.396871438239431,-6.832614031456293,0,
Edoxaban,-7.263935472301845,-6.964255278404271,-1.82825906317526,1,coagulation factor inhibitor
Edoxudine,11.188338838855126,-8.901638029986279,-2.9330126975029507,0,DNA directed DNA polymerase inhibitor
Edrophonium,1.555592453227663,-0.4004980523145522,6.849058997146237,3,acetylcholinesterase inhibitor
Efavirenz,-0.817113406075022,0.6756709564589096,-3.799743315428416,3,HIV protease inhibitor
Efinaconazole,4.132609782142276,4.741463483765096,8.414876266958217,3,lanosterol demethylase inhibitor
Eflornithine,1.8001306671520916,5.235680318046019,-1.0029051945663858,4,ornithine decarboxylase inhibitor
Elacestrant,6.671828183515943,0.41050890055751693,-3.8082848065393544,0,estrogen receptor degrader
Elafibranor,1.937171388415253,-5.725566393954205,-0.28091656545148624,3,PPAR receptor agonist
Elagolix,-6.033375624593674,2.2496543059437197,-3.3112093846306783,1,gonadotropin releasing factor hormone receptor antagonist
Elbasvir,-17.030097463556864,7.269629178002479,-2.773568690830268,2,HCV inhibitor
Eletriptan,5.553821545689273,0.7490367813475028,-5.297016640687648,0,serotonin receptor agonist
Elexacaftor,9.563437895262489,-0.8494050035559342,-3.901112159073695,0,
Eliglustat,15.369609539993903,4.615571887285549,-5.514871125159492,0,glycosyl transferase inhibitor
Eltrombopag,8.059772617631872,-1.672229039025801,-8.801010026301185,0,thrombopoietin receptor agonist
Eluxadoline,-2.2990653783655928,0.5888026553252999,2.167139398681968,3,opioid receptor agonist|opioid receptor antagonist
Elvitegravir,-8.272706540782787,-1.4613316859916323,-3.180044175676399,1,HIV integrase inhibitor
Emedastine,-7.62077970845667,1.6963472975838336,5.545369522891838,1,histamine receptor antagonist
Empagliflozin,-13.49751880377533,-4.682289984704676,-3.6942068617228907,1,sodium/glucose cotransporter inhibitor
Emtricitabine,2.4187632560660823,10.172504503499908,-1.1509529004150638,4,nucleoside reverse transcriptase inhibitor
Enalapril,7.262337342126878,13.26727903462763,1.9497022593534499,4,angiotensin converting enzyme inhibitor
Enalaprilat,0.17338787456264157,0.35856680731211227,-3.264486830308856,3,angiotensin converting enzyme inhibitor
Enasidenib,9.215180776109973,2.7788498492128793,-4.842048607996866,0,isocitrate dehydrogenase inhibitor
Encainide,9.202877365394452,3.8220712803229078,-5.6216098828739005,4,polarization inhibitor
Encorafenib,11.460015559052648,-2.2774102115487116,-4.4971748517844015,0,RAF inhibitor
Enflurane,-4.542826635601766,-4.66428006920156,0.11502721773624461,1,membrane permeability inhibitor
Enmetazobactam,-3.4030004179407856,-2.646099192706233,-0.15607993091637837,3,beta lactamase inhibitor
Enoxacin,-7.379129050737029,9.749622090701358,1.9826719474096013,2,topoisomerase inhibitor
Enoximone,7.110634937625592,-2.364230860962585,3.259782259377567,0,phosphodiesterase inhibitor
Enprofylline,-11.743046372929824,5.955742660112106,-0.6061893154154974,2,phosphodiesterase inhibitor
Ensifentrine,10.762895401826501,8.72330228106502,-6.429234672577484,4,
Ensulizole,16.880783637431534,-2.210176915717621,-7.395724577253409,0,
Entacapone,-2.2721501696107915,-4.044506164254429,1.012708498667182,3,catechol O methyltransferase inhibitor
Entecavir,4.259595353243703,0.46664638718281104,-4.429150274102811,3,DNA replication inhibitor|nucleoside reverse transcriptase inhibitor
Entrectinib,8.66650159515979,0.8861573543415102,-7.201391081965576,0,ALK tyrosine kinase receptor inhibitor|proto-oncogene tyrosine protein kinase inhibitor
Enzacamene,18.585483319997316,-7.161719518690399,-1.2810309106361089,0,endocrine disruptor
Enzalutamide,0.3267698354278904,12.290991802327493,-5.083133984957329,4,androgen receptor antagonist
Ephedrine,-4.249204461214335,-0.26265022116828424,5.770398723875838,3,adrenergic receptor agonist
Epicriptine,0.8832834415364603,3.621006579198628,-2.4619209443892607,4,
Epinastine,16.42360390200841,-0.5535317849350573,2.1454077176144524,0,histamine receptor antagonist
Epinephrine,-9.316197804866833,-2.2100130443649273,1.0504440287999999,1,adrenergic receptor agonist|carbonic anhydrase activator|neurotransmitter
Epirubicin,-12.285001232397812,-5.189483518986576,-3.8724904569751457,1,topoisomerase inhibitor
Eplerenone,-16.82793177025795,4.205420794827621,-0.46887092447108547,2,cytochrome P450 inhibitor
Epoprostenol,2.1420524913529846,-4.846941172371334,2.811660433821522,3,prostacyclin analog
Eprosartan,-13.467675105076658,-3.882996710775576,-0.32554411443075265,1,angiotensin receptor antagonist
Eravacycline,7.093864384923647,-2.0034059685333014,-5.870651220631543,0,antibacterial
Erdafitinib,-9.996814275053602,11.324017652808665,-2.3193627649070514,2,FGFR inhibitor
Erdosteine,-0.46704695898177007,-0.37604607997446204,-2.156347801993049,3,mucolytic agent
Ergocalciferol,1.2287550112539856,-9.561978486741499,-4.977763361847202,3,vitamin analog
Ergometrine,-2.274497185185134,-4.800433866488691,1.6009932149499368,3,adrenergic receptor agonist|serotonin receptor agonist
Ergosterol,-2.8011417558342107,-6.619947918800373,-4.584228499152534,1,vitamin D precursor
Ergotamine,7.8518520258858215,2.7965103576844976,-0.7576287332557086,4,adrenergic receptor antagonist
Eribulin,-8.255202103923965,-3.8024322592627424,-1.591924351975462,1,microtubule inhibitor
Erlotinib,12.058847882131909,-1.46791418998285,0.3416937946649978,0,EGFR inhibitor
Ertapenem,-2.2072119147773748,-0.7073901761864992,-3.067193070310164,3,bacterial cell wall synthesis inhibitor
Ertugliflozin,7.043504337565368,-3.6551833736714454,-0.7799858882557359,0,sodium/glucose cotransporter inhibitor
Erythrityl tetranitrate,-11.624276302602924,-4.240681274138557,-0.8429211558168608,1,
Erythromycin,7.48783056783633,6.145884619930272,0.3415887540511873,4,NFkB pathway inhibitor
Escitalopram,7.140690868740268,-0.41388925107417335,7.482262878850718,3,selective serotonin reuptake inhibitor (SSRI)
Esculin,-6.804761847981585,-1.1758386749967482,0.085289097446303,1,antioxidant
Esketamine,5.554708181684894,1.5907009223576303,9.506680430024867,3,
Eslicarbazepine,-14.633446178875559,8.82793650111587,-2.4944882722726063,2,voltage-gated sodium channel blocker
Eslicarbazepine acetate,-6.974231166775998,9.159917100024353,0.49500730000053167,2,sodium channel blocker
Esmolol,-10.934796562205898,2.441196062509295,4.671673670358196,1,adrenergic receptor antagonist
Esomeprazole,6.038604050194022,10.81683171133349,2.4765132385741335,4,ATPase inhibitor
Estazolam,-7.24211831682976,-6.4472245671851605,-4.765397080979437,1,benzodiazepine receptor agonist
Estetrol,13.846783892597974,7.243804643183327,4.093982926985562,4,selective estrogen receptor modulator (SERM)
Estradiol,20.052055666447654,15.254262715949805,-1.9553050975701538,4,estrogen receptor agonist
Estradiol acetate,8.2669283457673,15.09079842895828,-3.743557045061307,4,estrogen receptor agonist
Estradiol benzoate,8.109146870030317,5.981102746349786,3.360192287860032,4,contraceptive agent
Estradiol cypionate,9.348086940625857,8.119280741257569,-1.5852131588534948,4,estrogen receptor agonist
Estradiol dienanthate,0.5549331109388407,3.6190448408607123,0.7407002467256925,3,
Estradiol valerate,6.661883117683755,5.263418561182081,1.1886946154794096,4,estrogen receptor agonist
Estramustine,2.3771845460921117,6.279024318661228,5.296280127202028,4,DNA alkylating agent
Estramustine phosphate,-17.088759426773553,1.6649920719311437,-0.9402936363025461,1,DNA synthesis inhibitor|microtubule inhibitor
Estriol,7.749064056408713,12.852968067005007,-5.254227380595753,4,estrogen receptor agonist
Estrone,10.393590375667117,12.659487609332693,-4.160834455391444,4,estrogen receptor agonist|estrogenic hormone
Estrone sulfate,-1.109424648307803,0.06115259804299669,-0.42680710378755904,3,
Eszopiclone,-4.460644725755388,-6.104194688977858,-0.5748886681052383,1,
Etacrynic acid,-2.4469204220729126,-6.733046977657025,-3.7919264191377695,1,sodium/potassium/chloride transporter inhibitor
Etafedrine,4.151259082895317,3.6726721141631242,4.346869562977176,3,calcium channel blocker
Etelcalcetide,-1.5966318860385418,4.763592924392864,1.3045720387536937,3,
Ethambutol,-4.3120782968504905,-1.7700107237131562,3.121860937070408,3,bacterial cell wall synthesis inhibitor
Ethanol,13.634841773924059,0.9659121645216237,3.36737648865972,0,
Ethanolamine oleate,-6.983890582565658,-0.9626125535096116,2.236844663176524,1,immunostimulant
Ethchlorvynol,8.512748084551559,-0.041381936576216256,-2.047333288180873,0,
Ethinamate,4.6981655490075696,6.456760448473035,2.1850494334022614,4,
Ethinylestradiol,5.0581820257515595,0.1425471757473402,0.8393623771622313,3,
Ethionamide,-2.8938699871928586,-4.569378741716927,1.2168472179662668,3,mycolic synthesis inhibitor
Ethoheptazine,4.420980137926597,2.1677818291873,6.971664368633668,3,
Ethosuximide,-6.047295266362884,-0.21219263489656848,2.5191234072073745,1,succinimide antiepileptic
Ethotoin,-8.03802528201261,-1.4084845216787258,-2.549693364297236,1,hydantoin antiepileptic
Ethyl chloride,16.080994703860444,-9.797455590796348,0.39157888711618466,0,
Ethyl ferulate,24.415570930075834,2.7398850828624988,-5.713655654994641,0,
Ethyl hydroxybenzoate,2.049075563708844,2.428148335285643,1.8288949280530014,3,
Ethyl salicylate,11.076809113094289,-3.9166252388647513,-0.504151273616616,0,
Ethylenediamine,15.777529665985833,-3.416073683422052,3.016892047588537,0,
Ethylhexyl methoxycrylene,5.392462245483983,-8.162964394567195,-0.3148483627753364,0,
Ethynodiol diacetate,1.3624751570141242,-1.9806499515352847,2.754354763421426,3,
Etidocaine,3.193216887637395,1.5505877786432847,9.472682088431847,3,histamine receptor agonist
Etidronic acid,-13.20798551638355,-2.1443598739459584,0.9849206204895681,1,bone resorption inhibitor
Etilefrine,-5.8311515025301635,-2.9706685293539805,-0.780019130108403,1,adrenergic receptor agonist
Etodolac,-0.8977750605495126,-4.359107312385094,3.4282624616060917,3,cyclooxygenase inhibitor
Etofamide,3.068644553541617,0.5593180054051445,-4.238516063228592,3,mycolic synthesis inhibitor
Etomidate,-3.3799842509306965,-0.2539590449881576,-0.21937551561030838,3,GABA receptor modulator
Etonogestrel,4.668242739491562,-1.9891577439485006,1.8016124855116156,3,progesterone receptor agonist
Etoposide,-6.613544698467189,-6.4169784467355235,-3.131008617658471,1,topoisomerase inhibitor
Etoricoxib,-14.393132431050862,9.249685799811383,-1.716550885682004,2,cyclooxygenase inhibitor
Etrasimod,-1.561162155291369,5.5938601895830455,-3.8220606276786024,4,sphingosine 1-phosphate receptor antagonist
Etravirine,-0.8044753570960675,12.132743048476197,-2.3821752876045323,4,non-nucleoside reverse transcriptase inhibitor
Eugenol,-0.8687498336977015,4.566289157214677,-0.2694306462790398,3,androgen receptor antagonist
Everolimus,3.583934994787242,-2.903079634106292,-4.808767201431396,3,mTOR inhibitor
Exametazime,3.769291859418016,11.259565272719124,-2.7479773656607396,4,
Exemestane,-9.078864099689875,-5.873172571195917,-2.678814546190329,1,aromatase inhibitor
